rx;tx;name;lon;norad_id
268000;;14° SICRAL1B;14.0;34810
268050;310325;14° SICRAL1B;14.0;34810
268100;293325;14° SICRAL1B;14.0;34810
268150;309150;75° UFO F11;75.0;28117
268250;309250;172° UFO F4;172.0;23467
268250;309250;-22° UFO F10;-22.0;25967
268350;309350;-29° UFO F7;-29.0;23967
268350;309350;172° UFO F4;172.0;23467
268450;297150;75° UFO F11;75.0;28117
269650;310650;75° UFO F11;75.0;28117
269725;295150;75° UFO F11;75.0;28117
269750;310750;-22° UFO F10;-22.0;25967
269750;310750;172° UFO F4;172.0;23467
269850;310850;-22° UFO F10;-22.0;25967
269850;310850;172° UFO F4;172.0;23467
269925;295550;75° UFO F11;75.0;28117
269950;294325;75° UFO F11;75.0;28117
;;RADIOPIRAT.ORG;;
145800;145200;ISS Voice (RU, EU, AF);;25544
145800;144490;ISS Voice (AM, AS, OC);;25544
437800;145990;ISS Repeater (Global);;25544
436795;145850;SO-50;;27607
435400;145850;AO-123;;61781
435880;145880;IO-86;;40931
436666;145875;SO-125;;63492
145900;437500;PO-101;;43678
145960;435250;AO-91;;43017
436950;145920;QMR-KWT-2;;48943


